#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2422 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:67 out:68 type:b dur:2 cpbdur:2 q:19.04 aq:13.47 tex:22435 mv:12229 misc:3448 imb:38 pmb:1532 smb:6590 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:19.83 aq:8.95 tex:197251 mv:21664 misc:1221 imb:378 pmb:2212 smb:5570 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:19.52 aq:12.85 tex:45222 mv:18244 misc:2998 imb:76 pmb:1825 smb:6259 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:19.37 aq:13.90 tex:20867 mv:13349 misc:3344 imb:31 pmb:1559 smb:6570 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:19.68 aq:14.36 tex:21072 mv:12367 misc:3481 imb:34 pmb:1533 smb:6593 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:20.23 aq:9.30 tex:191311 mv:22444 misc:1237 imb:432 pmb:2198 smb:5530 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:20.03 aq:12.16 tex:44621 mv:19317 misc:2790 imb:90 pmb:1943 smb:6127 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:19.93 aq:15.06 tex:21137 mv:13278 misc:3465 imb:56 pmb:1546 smb:6558 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:20.13 aq:14.18 tex:19150 mv:13036 misc:3334 imb:39 pmb:1555 smb:6566 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:20.41 aq:10.03 tex:196185 mv:22529 misc:1134 imb:425 pmb:2203 smb:5532 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:20.32 aq:12.60 tex:46989 mv:19594 misc:2857 imb:98 pmb:1950 smb:6112 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:20.27 aq:14.57 tex:21099 mv:13515 misc:3378 imb:45 pmb:1565 smb:6550 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:20.36 aq:14.91 tex:22239 mv:12977 misc:3480 imb:42 pmb:1581 smb:6537 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:20.53 aq:9.62 tex:193016 mv:22386 misc:1190 imb:429 pmb:2200 smb:5531 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:20.47 aq:13.64 tex:44643 mv:18924 misc:2905 imb:82 pmb:1966 smb:6112 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:20.44 aq:14.90 tex:20628 mv:13101 misc:3447 imb:38 pmb:1573 smb:6549 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:20.50 aq:15.37 tex:21245 mv:12828 misc:3367 imb:43 pmb:1576 smb:6541 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:20.54 aq:10.71 tex:168594 mv:21975 misc:1287 imb:384 pmb:2207 smb:5569 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:20.53 aq:14.38 tex:47112 mv:19047 misc:2673 imb:67 pmb:2032 smb:6061 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:20.53 aq:15.28 tex:22392 mv:13395 misc:3197 imb:29 pmb:1617 smb:6514 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:20.53 aq:15.47 tex:23151 mv:12899 misc:3222 imb:48 pmb:1616 smb:6496 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:20.48 aq:8.68 tex:271353 mv:24293 misc:954 imb:851 pmb:1923 smb:5386 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:20.51 aq:13.76 tex:44489 mv:17790 misc:3233 imb:122 pmb:1903 smb:6135 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:20.52 aq:14.92 tex:27748 mv:14816 misc:3300 imb:65 pmb:1700 smb:6395 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:20.49 aq:16.05 tex:17053 mv:9613 misc:3486 imb:17 pmb:1376 smb:6767 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:20.51 aq:9.92 tex:195734 mv:21277 misc:1333 imb:341 pmb:2253 smb:5566 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:20.50 aq:13.98 tex:41210 mv:17852 misc:2818 imb:53 pmb:1941 smb:6166 d:- ref:0 ;
